what,kind,bundleId,bundleVersion,description,time
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1410706322036
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1410706333996
activated,view,org.eclipse.php.ui,2.2.0.v20100616-1900,"org.eclipse.php.ui.explorer",1410706348332
opened,editor,org.eclipse.wst.html.ui,1.0.500.v201006030742,"org.eclipse.wst.html.core.htmlsource.source",1410706348419
activated,editor,org.eclipse.wst.html.ui,1.0.500.v201006030742,"org.eclipse.wst.html.core.htmlsource.source",1410706348493
activated,editor,org.eclipse.wst.html.ui,1.0.500.v201006030742,"org.eclipse.wst.html.core.htmlsource.source",1410706472437
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.edit.delete",1410706477611
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.file.save",1410706479367
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1410706479912
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1410706506150
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.edit.undo",1410706507383
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.file.save",1410706508075
error,log,,,"找不到标记 id 8931。",1410706508167
error,log,,,"找不到标记 id 8935。",1410706508168
error,log,,,"找不到标记 id 8940。",1410706508169
error,log,,,"找不到标记 id 8943。",1410706508170
error,log,,,"找不到标记 id 8941。",1410706508171
error,log,,,"找不到标记 id 8934。",1410706508172
error,log,,,"找不到标记 id 8932。",1410706508172
error,log,,,"找不到标记 id 8942。",1410706508173
error,log,,,"找不到标记 id 8939。",1410706508174
error,log,,,"找不到标记 id 8930。",1410706508175
error,log,,,"找不到标记 id 8936。",1410706508175
error,log,,,"找不到标记 id 8937。",1410706508176
error,log,,,"找不到标记 id 8933。",1410706508177
error,log,,,"找不到标记 id 8929。",1410706508178
error,log,,,"找不到标记 id 8938。",1410706508178
activated,editor,org.eclipse.wst.html.ui,1.0.500.v201006030742,"org.eclipse.wst.html.core.htmlsource.source",1410706509850
activated,view,org.eclipse.php.ui,2.2.0.v20100616-1900,"org.eclipse.php.ui.explorer",1410706804833
activated,editor,org.eclipse.wst.html.ui,1.0.500.v201006030742,"org.eclipse.wst.html.core.htmlsource.source",1410706808617
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1410706818081
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1410706842336
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.file.save",1410707148186
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1410707148960
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1410707162118
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.edit.undo",1410707163013
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.file.save",1410707164020
