what,kind,bundleId,bundleVersion,description,time
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1410950562018
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1410950565164
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1410950586827
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1410950591421
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1410950597886
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.file.save",1410950601324
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.file.save",1410950603854
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1410950604481
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1410950608695
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.edit.cut",1410950611285
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.edit.paste",1410950613373
executed,command,org.eclipse.ui.workbench.texteditor,3.6.0.v20100520-0800,"org.eclipse.ui.edit.text.goto.lineStart",1410950614577
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.file.save",1410950618022
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1410950618881
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1410950631252
executed,command,org.eclipse.ui.workbench.texteditor,3.6.0.v20100520-0800,"org.eclipse.ui.edit.text.select.lineStart",1410950634185
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.edit.cut",1410950634904
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.edit.paste",1410950637081
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.file.save",1410950637390
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1410950638121
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1410950644333
executed,command,org.eclipse.ui.workbench.texteditor,3.6.0.v20100520-0800,"org.eclipse.ui.edit.text.select.lineStart",1410950645721
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.edit.cut",1410950646241
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.edit.paste",1410950667991
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.edit.undo",1410950669465
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.edit.paste",1410950670422
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.file.save",1410950670885
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1410950671319
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1410950673508
executed,command,org.eclipse.ui.workbench.texteditor,3.6.0.v20100520-0800,"org.eclipse.ui.edit.text.select.lineStart",1410950674418
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.edit.cut",1410950674896
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.edit.paste",1410950678258
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.file.save",1410950678590
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1410950679215
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1410950683322
