what,kind,bundleId,bundleVersion,description,time
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1410963151995
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1410963162165
activated,editor,org.eclipse.php.ui,2.2.0.v20100616-1900,"org.eclipse.php.editor",1410963164714
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.file.save",1410963176122
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1410963177633
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1410963187078
activated,editor,org.eclipse.php.ui,2.2.0.v20100616-1900,"org.eclipse.php.editor",1410963190889
executed,command,org.eclipse.ui.workbench.texteditor,3.6.0.v20100520-0800,"org.eclipse.ui.edit.text.goto.lineStart",1410963192540
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.file.save",1410963193813
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1410963194418
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1410963202633
activated,view,org.eclipse.php.ui,2.2.0.v20100616-1900,"org.eclipse.php.ui.explorer",1410963207212
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1410963211095
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1410963225962
activated,editor,org.eclipse.php.ui,2.2.0.v20100616-1900,"org.eclipse.php.editor",1410963229367
closed,editor,org.eclipse.php.ui,2.2.0.v20100616-1900,"org.eclipse.php.editor",1410963229398
error,log,,,"资源与文件系统不同步：“/www/lib/inc/keke_HttpClient_class.php”。",1410963231231
activated,view,org.eclipse.php.ui,2.2.0.v20100616-1900,"org.eclipse.php.ui.explorer",1410963231244
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.file.refresh",1410963234675
opened,editor,org.eclipse.php.ui,2.2.0.v20100616-1900,"org.eclipse.php.editor",1410963236181
activated,editor,org.eclipse.php.ui,2.2.0.v20100616-1900,"org.eclipse.php.editor",1410963236306
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.edit.paste",1410963238838
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.file.save",1410963239254
activated,editor,org.eclipse.php.ui,2.2.0.v20100616-1900,"org.eclipse.php.editor",1410963241019
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.edit.paste",1410963242990
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.file.save",1410963243298
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1410963244484
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1410963245860
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1410963246668
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1410963256542
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.file.save",1410963262351
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1410963263014
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1410963270332
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.file.save",1410963272316
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1410963276203
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1410963281871
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.edit.paste",1410963284354
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.file.save",1410963284733
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1410963294269
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1410963319066
