what,kind,bundleId,bundleVersion,description,time
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.edit.paste",1411299209175
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.file.save",1411299209549
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.edit.copy",1411299213842
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.edit.paste",1411299215861
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.edit.paste",1411299218986
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.file.save",1411299219324
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1411299220266
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1411299221704
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1411299222869
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1411299232161
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1411299252734
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1411299253094
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.file.save",1411299254480
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1411299269308
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1411299269667
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.file.save",1411299270158
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1411299271100
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1411299275161
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1411299276183
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1411299301108
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1411299302114
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1411299321151
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1411299348623
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1411299395373
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.edit.paste",1411299406071
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.edit.paste",1411299411374
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.edit.copy",1411299412498
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.edit.paste",1411299413853
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.edit.paste",1411299415477
executed,command,org.eclipse.ui.workbench.texteditor,3.6.0.v20100520-0800,"org.eclipse.ui.edit.text.goto.lineEnd",1411299417526
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.file.save",1411299420635
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1411299421780
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1411299426422
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.edit.copy",1411299433847
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.edit.paste",1411299434384
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1411299434786
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1411299439788
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.edit.paste",1411299441482
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.file.save",1411299443080
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.file.save",1411299446832
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1411299448297
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1411299624492
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.edit.cut",1411299631835
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.edit.paste",1411299632924
executed,command,org.eclipse.ui.workbench.texteditor,3.6.0.v20100520-0800,"org.eclipse.ui.edit.text.select.lineEnd",1411299635257
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1411299636377
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1411299653471
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.edit.paste",1411299657398
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.edit.cut",1411299661490
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.edit.paste",1411299663114
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.edit.cut",1411299664949
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.edit.paste",1411299665821
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.file.save",1411299668591
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1411299673119
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1411299673953
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1411299675095
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1411299742724
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1411299745447
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1411299746913
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1411299747439
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1411299760271
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.edit.paste",1411299778611
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.edit.cut",1411299797282
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.edit.delete",1411299798424
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.edit.delete",1411299798833
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.edit.paste",1411299801673
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.file.save",1411299803464
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1411299823897
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1411299824120
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.file.save",1411299824740
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1411299832680
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1411299841848
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.file.save",1411299850887
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.edit.undo",1411299851340
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.file.save",1411299853366
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1411299853982
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1411299896159
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1411299904900
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1411299919708
