what,kind,bundleId,bundleVersion,description,time
activated,editor,org.eclipse.php.ui,2.2.0.v20100616-1900,"org.eclipse.php.editor",1410702495174
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.edit.copy",1410702497772
activated,view,org.eclipse.php.ui,2.2.0.v20100616-1900,"org.eclipse.php.ui.explorer",1410702515587
activated,editor,org.eclipse.php.ui,2.2.0.v20100616-1900,"org.eclipse.php.editor",1410702515869
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1410702543002
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1410702552741
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1410702553211
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1410702572922
activated,view,org.eclipse.php.ui,2.2.0.v20100616-1900,"org.eclipse.php.ui.explorer",1410702731885
activated,editor,org.eclipse.wst.html.ui,1.0.500.v201006030742,"org.eclipse.wst.html.core.htmlsource.source",1410702741328
activated,view,org.eclipse.php.ui,2.2.0.v20100616-1900,"org.eclipse.php.ui.explorer",1410702761606
activated,editor,org.eclipse.php.ui,2.2.0.v20100616-1900,"org.eclipse.php.editor",1410702780588
activated,view,org.eclipse.php.ui,2.2.0.v20100616-1900,"org.eclipse.php.ui.explorer",1410702867335
activated,editor,org.eclipse.php.ui,2.2.0.v20100616-1900,"org.eclipse.php.editor",1410702886570
activated,editor,org.eclipse.php.ui,2.2.0.v20100616-1900,"org.eclipse.php.editor",1410702894894
executed,command,org.eclipse.ui.workbench.texteditor,3.6.0.v20100520-0800,"org.eclipse.ui.edit.text.select.lineStart",1410702904116
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.edit.copy",1410702904672
executed,command,org.eclipse.ui.workbench.texteditor,3.6.0.v20100520-0800,"org.eclipse.ui.edit.text.goto.lineEnd",1410702905117
executed,command,org.eclipse.ui.workbench.texteditor,3.6.0.v20100520-0800,"org.eclipse.ui.edit.text.goto.lineStart",1410702905855
executed,command,org.eclipse.ui.workbench.texteditor,3.6.0.v20100520-0800,"org.eclipse.ui.edit.text.goto.lineEnd",1410702907849
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.edit.paste",1410702908893
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.file.save",1410702915824
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1410702916720
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1410702928500
activated,view,org.eclipse.php.ui,2.2.0.v20100616-1900,"org.eclipse.php.ui.explorer",1410702932819
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1410702939723
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1410702953950
activated,editor,org.eclipse.php.ui,2.2.0.v20100616-1900,"org.eclipse.php.editor",1410702965235
activated,view,org.eclipse.php.ui,2.2.0.v20100616-1900,"org.eclipse.php.ui.explorer",1410702976779
activated,editor,org.eclipse.php.ui,2.2.0.v20100616-1900,"org.eclipse.php.editor",1410702979517
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.file.save",1410702979715
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1410702980432
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1410702998641
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.edit.copy",1410703004713
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.edit.paste",1410703008878
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.file.save",1410703010657
executed,command,org.eclipse.ui.workbench.texteditor,3.6.0.v20100520-0800,"org.eclipse.ui.edit.text.goto.lineStart",1410703012459
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.file.save",1410703016185
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1410703016711
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1410703021334
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1410703029837
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1410703044074
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1410703055492
