what,kind,bundleId,bundleVersion,description,time
activated,editor,org.eclipse.php.ui,2.2.0.v20100616-1900,"org.eclipse.php.editor",1406876794149
closed,editor,org.eclipse.wst.html.ui,1.0.500.v201006030742,"org.eclipse.wst.html.core.htmlsource.source",1406876794150
activated,view,org.eclipse.php.ui,2.2.0.v20100616-1900,"org.eclipse.php.ui.explorer",1406876794974
opened,editor,org.eclipse.wst.html.ui,1.0.500.v201006030742,"org.eclipse.wst.html.core.htmlsource.source",1406876795551
activated,editor,org.eclipse.wst.html.ui,1.0.500.v201006030742,"org.eclipse.wst.html.core.htmlsource.source",1406876795724
activated,editor,org.eclipse.php.ui,2.2.0.v20100616-1900,"org.eclipse.php.editor",1406876800271
closed,editor,org.eclipse.wst.html.ui,1.0.500.v201006030742,"org.eclipse.wst.html.core.htmlsource.source",1406876800271
activated,view,org.eclipse.php.ui,2.2.0.v20100616-1900,"org.eclipse.php.ui.explorer",1406876806890
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1406876816291
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1406876822963
activated,editor,org.eclipse.php.ui,2.2.0.v20100616-1900,"org.eclipse.php.editor",1406876823778
activated,view,org.eclipse.php.ui,2.2.0.v20100616-1900,"org.eclipse.php.ui.explorer",1406876826242
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1406876832578
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1406877134119
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1406877140044
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1406877144333
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.file.properties",1406877144349
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1406877154160
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1406877155906
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.file.properties",1406877155919
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1406877158124
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1406877218638
opened,editor,org.eclipse.wst.html.ui,1.0.500.v201006030742,"org.eclipse.wst.html.core.htmlsource.source",1406877220466
activated,editor,org.eclipse.wst.html.ui,1.0.500.v201006030742,"org.eclipse.wst.html.core.htmlsource.source",1406877220599
activated,editor,org.eclipse.php.ui,2.2.0.v20100616-1900,"org.eclipse.php.editor",1406877224991
closed,editor,org.eclipse.wst.html.ui,1.0.500.v201006030742,"org.eclipse.wst.html.core.htmlsource.source",1406877224991
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1406877228089
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1406877448406
activated,view,org.eclipse.php.ui,2.2.0.v20100616-1900,"org.eclipse.php.ui.explorer",1406877453505
opened,editor,org.eclipse.wst.html.ui,1.0.500.v201006030742,"org.eclipse.wst.html.core.htmlsource.source",1406877453791
activated,editor,org.eclipse.wst.html.ui,1.0.500.v201006030742,"org.eclipse.wst.html.core.htmlsource.source",1406877453974
activated,editor,org.eclipse.php.ui,2.2.0.v20100616-1900,"org.eclipse.php.editor",1406877457069
closed,editor,org.eclipse.wst.html.ui,1.0.500.v201006030742,"org.eclipse.wst.html.core.htmlsource.source",1406877457069
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1406877460969
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1406877463099
executed,command,org.eclipse.ui.ide,3.6.0.I20100601-0800,"org.eclipse.ui.project.properties",1406877463115
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1406877464187
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1406877493108
activated,view,org.eclipse.php.ui,2.2.0.v20100616-1900,"org.eclipse.php.ui.explorer",1406877495379
opened,editor,org.eclipse.wst.html.ui,1.0.500.v201006030742,"org.eclipse.wst.html.core.htmlsource.source",1406877495696
activated,editor,org.eclipse.wst.html.ui,1.0.500.v201006030742,"org.eclipse.wst.html.core.htmlsource.source",1406877495872
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1406877497952
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1406877497975
activated,view,org.eclipse.php.ui,2.2.0.v20100616-1900,"org.eclipse.php.ui.explorer",1406877501102
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1406877502931
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1406877513130
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.file.properties",1406877513193
activated,editor,org.eclipse.wst.html.ui,1.0.500.v201006030742,"org.eclipse.wst.html.core.htmlsource.source",1406877514416
activated,editor,org.eclipse.php.ui,2.2.0.v20100616-1900,"org.eclipse.php.editor",1406877518937
closed,editor,org.eclipse.wst.html.ui,1.0.500.v201006030742,"org.eclipse.wst.html.core.htmlsource.source",1406877518938
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1406877523706
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1406877540875
executed,command,org.eclipse.ui.ide,3.6.0.I20100601-0800,"org.eclipse.ui.project.properties",1406877540893
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1406877545207
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1406877547802
executed,command,org.eclipse.ui.ide,3.6.0.I20100601-0800,"org.eclipse.ui.project.properties",1406877547816
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1406877549655
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1406877588916
activated,view,org.eclipse.php.ui,2.2.0.v20100616-1900,"org.eclipse.php.ui.explorer",1406877591590
opened,editor,org.eclipse.wst.html.ui,1.0.500.v201006030742,"org.eclipse.wst.html.core.htmlsource.source",1406877592458
activated,editor,org.eclipse.wst.html.ui,1.0.500.v201006030742,"org.eclipse.wst.html.core.htmlsource.source",1406877592593
activated,editor,org.eclipse.php.ui,2.2.0.v20100616-1900,"org.eclipse.php.editor",1406877595941
closed,editor,org.eclipse.wst.html.ui,1.0.500.v201006030742,"org.eclipse.wst.html.core.htmlsource.source",1406877595941
activated,view,org.eclipse.php.ui,2.2.0.v20100616-1900,"org.eclipse.php.ui.explorer",1406877596788
opened,editor,org.eclipse.wst.html.ui,1.0.500.v201006030742,"org.eclipse.wst.html.core.htmlsource.source",1406877597019
activated,editor,org.eclipse.wst.html.ui,1.0.500.v201006030742,"org.eclipse.wst.html.core.htmlsource.source",1406877597185
activated,editor,org.eclipse.php.ui,2.2.0.v20100616-1900,"org.eclipse.php.editor",1406877599044
closed,editor,org.eclipse.wst.html.ui,1.0.500.v201006030742,"org.eclipse.wst.html.core.htmlsource.source",1406877599044
activated,view,org.eclipse.php.ui,2.2.0.v20100616-1900,"org.eclipse.php.ui.explorer",1406877600452
activated,editor,org.eclipse.php.ui,2.2.0.v20100616-1900,"org.eclipse.php.editor",1406877604410
